date,action,shares,price,gross_cost,transaction_fee,total_cost,gross_proceeds,net_proceeds
2024-10-09 11:21:00,BUY,42,225.25,9460.5,47.3025,9507.8025,,
2024-10-09 11:24:00,SELL,42,225.33,,47.319300000000005,,9463.86,9416.540700000001
2024-10-09 11:26:00,BUY,41,225.37,9240.17,46.20085,9286.37085,,
2024-10-09 11:28:00,SELL,41,225.27,,46.18035,,9236.07,9189.88965
2024-10-09 11:29:00,BUY,41,225.27,9236.07,46.18035,9282.25035,,
2024-10-09 11:31:00,SELL,41,225.3,,46.18650000000001,,9237.300000000001,9191.113500000001
2024-10-09 11:33:00,BUY,40,225.26,9010.4,45.052,9055.452,,
2024-10-09 11:34:00,SELL,40,225.25,,45.050000000000004,,9010.0,8964.95
2024-10-09 11:35:00,BUY,40,225.34,9013.6,45.068000000000005,9058.668,,
2024-10-09 11:38:00,SELL,40,225.34,,45.068000000000005,,9013.6,8968.532000000001
2024-10-09 11:45:00,BUY,40,225.5,9020.0,45.1,9065.1,,
2024-10-09 11:53:00,SELL,40,225.69,,45.138000000000005,,9027.6,8982.462
2024-10-09 11:54:00,BUY,39,225.62,8799.18,43.9959,8843.1759,,
2024-10-09 11:56:00,SELL,39,225.66,,44.0037,,8800.74,8756.7363
2024-10-09 11:57:00,BUY,39,225.6,8798.4,43.992,8842.392,,
2024-10-09 11:58:00,SELL,39,225.5,,43.972500000000004,,8794.5,8750.5275
2024-10-09 12:00:00,BUY,39,225.14,8780.46,43.9023,8824.362299999999,,
2024-10-09 12:02:00,SELL,39,225.54,,43.9803,,8796.06,8752.0797
2024-10-09 12:03:00,BUY,38,225.5,8569.0,42.845,8611.845,,
2024-10-09 12:08:00,SELL,38,225.4,,42.82600000000001,,8565.2,8522.374000000002
2024-10-09 12:14:00,BUY,38,225.5334,8570.2692,42.85134600000001,8613.120546,,
2024-10-09 12:15:00,SELL,38,225.42,,42.8298,,8565.96,8523.1302
2024-10-09 12:16:00,BUY,38,225.4,8565.2,42.82600000000001,8608.026,,
2024-10-09 12:17:00,SELL,38,225.33,,42.81270000000001,,8562.54,8519.7273
2024-10-09 12:19:00,BUY,37,225.31,8336.47,41.68235,8378.152349999998,,
2024-10-09 12:20:00,SELL,37,225.31,,41.68235,,8336.47,8294.78765
2024-10-09 12:22:00,BUY,37,225.2809,8335.3933,41.6769665,8377.070266499999,,
2024-10-09 12:23:00,SELL,37,225.22,,41.6657,,8333.14,8291.4743
2024-10-09 12:24:00,BUY,36,225.3055,8110.998,40.55499,8151.552989999999,,
2024-10-09 12:27:00,SELL,36,225.2703,,40.548654,,8109.730799999999,8069.182145999999
2024-10-09 12:29:00,BUY,36,225.3,8110.8,40.554,8151.354,,
2024-10-09 12:30:00,SELL,36,225.5973,,40.607513999999995,,8121.502799999999,8080.895285999999
2024-10-09 12:31:00,BUY,36,225.43,8115.4800000000005,40.577400000000004,8156.057400000001,,
2024-10-09 12:32:00,SELL,36,225.5945,,40.60701,,8121.402,8080.79499
2024-10-09 12:33:00,BUY,35,225.4535,7890.8724999999995,39.454362499999995,7930.326862499999,,
